avg_latency_hops,avg_latency_ms,bandwidth_mbps,cache_hit_ratio,cache_hits,cache_misses,cache_policy,cache_size,completed_requests,consumer_count,data_tx,failed_edge,forwarding,interest_lifetime_ms,interest_tx,items_per_prefix,link_delay_ms,nodes,pit_capacity,pit_overflow_drops,producer_count,producer_serves,queue_drops,queue_limit_packets,requests,retransmissions,seed,system,timed_out_requests,topology,verification_failures,workload,zipf_alpha
7.042016806722689,69.63803697478977,25.0,0.0,0.0,119.0,lfu,32,119.0,4,419.0,,best-route,250.0,419.0,80,8.0,12,256,0.0,3,0.0,281.0,64,400.0,0.0,12,ip,0.0,mesh,0.0,zipf,1.2
2.426829268292683,76.69372878048766,25.0,0.0,0.0,1351.0,lfu,0,328.0,4,828.0,,best-route,250.0,838.0,80,8.0,12,256,0.0,3,328.0,0.0,64,400.0,113.0,13,ndn,72.0,mesh,0.0,zipf,0.8
7.1525423728813555,71.20876203389818,25.0,0.0,0.0,118.0,lfu,0,118.0,4,422.0,,best-route,250.0,422.0,80,8.0,12,256,0.0,3,0.0,282.0,64,400.0,0.0,13,ip,0.0,mesh,0.0,zipf,0.8
2.3295019157088124,79.98014651340982,25.0,0.0,0.0,1231.0,lfu,0,261.0,4,646.0,,best-route,250.0,654.0,80,8.0,12,256,0.0,3,261.0,0.0,64,400.0,177.0,13,ndn,139.0,mesh,0.0,zipf,1.2
7.1525423728813555,71.20876203389818,25.0,0.0,0.0,118.0,lfu,0,118.0,4,422.0,,best-route,250.0,422.0,80,8.0,12,256,0.0,3,0.0,282.0,64,400.0,0.0,13,ip,0.0,mesh,0.0,zipf,1.2
2.1054131054131053,67.20963099715087,25.0,0.21937321937321938,77.0,1182.0,lfu,8,351.0,4,762.0,,best-route,250.0,771.0,80,8.0,12,256,0.0,3,274.0,0.0,64,400.0,88.0,13,ndn,49.0,mesh,0.0,zipf,0.8
7.1525423728813555,71.20876203389818,25.0,0.0,0.0,118.0,lfu,8,118.0,4,422.0,,best-route,250.0,422.0,80,8.0,12,256,0.0,3,0.0,282.0,64,400.0,0.0,13,ip,0.0,mesh,0.0,zipf,0.8
1.6401273885350318,56.95427363057316,25.0,0.3662420382165605,115.0,955.0,lfu,8,314.0,4,545.0,,best-route,250.0,551.0,80,8.0,12,256,0.0,3,199.0,0.0,64,400.0,119.0,13,ndn,86.0,mesh,0.0,zipf,1.2
7.1525423728813555,71.20876203389818,25.0,0.0,0.0,118.0,lfu,8,118.0,4,422.0,,best-route,250.0,422.0,80,8.0,12,256,0.0,3,0.0,282.0,64,400.0,0.0,13,ip,0.0,mesh,0.0,zipf,1.2
1.8396739130434783,56.86532956521729,25.0,0.3423913043478261,126.0,1039.0,lfu,16,368.0,4,694.0,,best-route,250.0,700.0,80,8.0,12,256,0.0,3,242.0,0.0,64,400.0,65.0,13,ndn,32.0,mesh,0.0,zipf,0.8
7.1525423728813555,71.20876203389818,25.0,0.0,0.0,118.0,lfu,16,118.0,4,422.0,,best-route,250.0,422.0,80,8.0,12,256,0.0,3,0.0,282.0,64,400.0,0.0,13,ip,0.0,mesh,0.0,zipf,0.8
1.3273273273273274,44.34287663663657,25.0,0.5405405405405406,180.0,779.0,lfu,16,333.0,4,462.0,,best-route,250.0,466.0,80,8.0,12,256,0.0,3,153.0,0.0,64,400.0,93.0,13,ndn,67.0,mesh,0.0,zipf,1.2
7.1525423728813555,71.20876203389818,25.0,0.0,0.0,118.0,lfu,16,118.0,4,422.0,,best-route,250.0,422.0,80,8.0,12,256,0.0,3,0.0,282.0,64,400.0,0.0,13,ip,0.0,mesh,0.0,zipf,1.2
1.5623342175066313,45.84705442970815,25.0,0.46949602122015915,177.0,878.0,lfu,32,377.0,4,602.0,,best-route,250.0,607.0,80,8.0,12,256,0.0,3,200.0,0.0,64,400.0,48.0,13,ndn,23.0,mesh,0.0,zipf,0.8
7.1525423728813555,71.20876203389818,25.0,0.0,0.0,118.0,lfu,32,118.0,4,422.0,,best-route,250.0,422.0,80,8.0,12,256,0.0,3,0.0,282.0,64,400.0,0.0,13,ip,0.0,mesh,0.0,zipf,0.8
1.1011560693641618,37.2201442774566,25.0,0.6358381502890174,220.0,652.0,lfu,32,346.0,4,393.0,,best-route,250.0,395.0,80,8.0,12,256,0.0,3,126.0,0.0,64,400.0,77.0,13,ndn,54.0,mesh,0.0,zipf,1.2
7.1525423728813555,71.20876203389818,25.0,0.0,0.0,118.0,lfu,32,118.0,4,422.0,,best-route,250.0,422.0,80,8.0,12,256,0.0,3,0.0,282.0,64,400.0,0.0,13,ip,0.0,mesh,0.0,zipf,1.2
